forename,surname,year,wins,points
Rubens,de la Rosa,2000,9,108.0
Slim,de Cesaris,1981,3,50.0
Takuma,de la Rosa,2002,11,144.0
Thierry,de Cesaris,1986,7,73.0
Tim,de Klerk,1970,5,45.0
Timo,Webber,2008,6,98.0
Tom,Williams,1967,4,51.0
Tommy,de Villota,1982,2,44.0
Tomáš,de la Rosa,2001,9,123.0
Toranosuke,Wurz,1998,8,100.0
Toranosuke,de la Rosa,1999,5,76.0
Trevor,de Klerk,1965,6,54.0
Ukyo,Villeneuve,1996,8,97.0
Ukyo,Wendlinger,1995,9,102.0
Ukyo,Wurz,1997,7,81.0
Valtteri,Vettel,2020,11,413.0
Valtteri,Wehrlein,2016,10,385.0
Valtteri,di Resta,2017,9,363.0
Valtteri,van der Garde,2013,13,397.0
Vic,Wilson,1966,4,42.0
Vic,van Lennep,1971,6,62.0
Vic,van Rooyen,1969,6,63.0
Vitaly,di Resta,2012,5,281.0
Vitantonio,Webber,2009,6,95.0
Vitantonio,Yamamoto,2007,6,110.0
Vitantonio,de la Rosa,2005,7,133.0
Vitantonio,di Grassi,2010,5,256.0
Vitantonio,di Resta,2011,11,392.0
Vittorio,de Angelis,1979,4,51.0
Vittorio,de Cesaris,1980,5,67.0
Vittorio,de Villota,1978,6,72.0
Vittorio,von Opel,1974,3,55.0
Walt,de Beaufort,1964,3,40.0
Warwick,de Villota,1976,6,69.0
Will,Vettel,2015,11,384.0
Willy,de Vos,1963,7,54.0
Wilson,de Adamich,1972,5,61.0
Wilson,van Lennep,1975,5,64.5
Wilson,von Opel,1973,5,71.0
Wolfgang,van der Vyver,1962,4,42.0
Wolfgang,von Trips,1961,5,43.0
Yannick,de Cesaris,1988,8,90.0
Yuji,de la Rosa,2006,7,134.0
Yves,Étancelin,1951,3,31.0
Zsolt,da Matta,2004,13,148.0
Élie,da Silva Ramos,1955,4,40.0
Élie,de Riu,1954,6,42.0
Élie,von Stuck,1953,5,34.5
Élie,Étancelin,1952,6,36.0
Éric,de Cesaris,1990,6,78.0
Érik,de Cesaris,1994,8,99.0
Érik,van de Poele,1992,9,108.0
Óscar,von Trips,1956,3,30.0
