resultId,raceId,driverId,constructorId,grid,position,positionText,positionOrder,points,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,constructorRef,constructor_name,constructor_nationality,driverRef,code,forename,surname,dob,driver_nationality,driver_name
1,18,1,1,1,1,1,1,10.0,39,2,1:27.452,218.300,1,mclaren,McLaren,British,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,Lewis Hamilton
3,18,3,3,7,3,3,3,6.0,41,5,1:28.090,216.719,1,williams,Williams,British,rosberg,ROS,Nico,Rosberg,1985-06-27,German,Nico Rosberg
4,18,4,4,11,4,4,4,5.0,58,7,1:28.603,215.464,1,renault,Renault,French,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,Fernando Alonso
8,18,8,6,15,8,8,8,1.0,20,4,1:27.903,217.180,5,ferrari,Ferrari,Italian,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,Kimi Räikkönen
13,18,13,6,4,\N,R,13,0.0,23,6,1:28.175,216.510,5,ferrari,Ferrari,Italian,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,Felipe Massa
14,18,14,9,8,\N,R,14,0.0,21,11,1:29.502,213.300,4,red_bull,Red Bull,Austrian,coulthard,COU,David,Coulthard,1971-03-27,British,David Coulthard
17,18,17,9,14,\N,R,17,0.0,\N,\N,\N,\N,4,red_bull,Red Bull,Austrian,webber,WEB,Mark,Webber,1976-08-27,Australian,Mark Webber
18,18,18,11,12,\N,R,18,0.0,\N,\N,\N,\N,4,honda,Honda,Japanese,button,BUT,Jenson,Button,1980-01-19,British,Jenson Button
20,18,20,5,9,\N,R,20,0.0,\N,\N,\N,\N,4,toro_rosso,Toro Rosso,Italian,vettel,VET,Sebastian,Vettel,1987-07-03,German,Sebastian Vettel
22,18,22,11,10,\N,D,22,0.0,44,8,1:28.736,215.141,2,honda,Honda,Japanese,barrichello,BAR,Rubens,Barrichello,1972-05-23,Brazilian,Rubens Barrichello
23,19,8,6,2,1,1,1,10.0,37,2,1:35.405,209.158,1,ferrari,Ferrari,Italian,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,Kimi Räikkönen
27,19,1,1,9,5,5,5,4.0,53,3,1:35.462,209.033,1,mclaren,McLaren,British,hamilton,HAM,Lewis,Hamilton,1985-01-07,British,Lewis Hamilton
29,19,17,9,6,7,7,7,2.0,53,12,1:36.696,206.366,1,red_bull,Red Bull,Austrian,webber,WEB,Mark,Webber,1976-08-27,Australian,Mark Webber
30,19,4,4,7,8,8,8,1.0,40,10,1:36.288,207.240,1,renault,Renault,French,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,Fernando Alonso
