resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,Win or Lost
1,18,1,1,22,1,1,1,1,10.0,58,1:34:50.616,5690.616,39,2,1:27.452,218.300,1,1:34:50.616
2,18,2,2,3,5,2,2,2,8.0,58,5.478,5696.094,41,3,1:27.739,217.586,1,+5.478
3,18,3,3,7,7,3,3,3,6.0,58,8.163,5698.779,41,5,1:28.090,216.719,1,+8.163
4,18,4,4,5,11,4,4,4,5.0,58,17.181,5707.797,58,7,1:28.603,215.464,1,+17.181
5,18,5,1,23,3,5,5,5,4.0,58,18.014,5708.63,43,1,1:27.418,218.385,1,+18.014
6,18,6,3,8,13,6,6,6,3.0,57,0,0.0,50,14,1:29.639,212.974,11,0
7,18,7,5,14,17,7,7,7,2.0,55,0,0.0,22,12,1:29.534,213.224,5,0
8,18,8,6,1,15,8,8,8,1.0,53,0,0.0,20,4,1:27.903,217.180,5,0
9,18,9,2,4,2,\N,R,9,0.0,47,0,0.0,15,9,1:28.753,215.100,4,0
10,18,10,7,12,18,\N,R,10,0.0,43,0,0.0,23,13,1:29.558,213.166,3,0
11,18,11,8,18,19,\N,R,11,0.0,32,0,0.0,24,15,1:30.892,210.038,7,0
12,18,12,4,6,20,\N,R,12,0.0,30,0,0.0,20,16,1:31.384,208.907,8,0
13,18,13,6,2,4,\N,R,13,0.0,29,0,0.0,23,6,1:28.175,216.510,5,0
14,18,14,9,9,8,\N,R,14,0.0,25,0,0.0,21,11,1:29.502,213.300,4,0
15,18,15,7,11,6,\N,R,15,0.0,19,0,0.0,18,10,1:29.310,213.758,10,0
16,18,16,10,20,22,\N,R,16,0.0,8,0,0.0,8,17,1:32.021,207.461,9,0
17,18,17,9,10,14,\N,R,17,0.0,0,0,0.0,0,\N,0,0,4,0
18,18,18,11,16,12,\N,R,18,0.0,0,0,0.0,0,\N,0,0,4,0
19,18,19,8,19,21,\N,R,19,0.0,0,0,0.0,0,\N,0,0,4,0
20,18,20,5,15,9,\N,R,20,0.0,0,0,0.0,0,\N,0,0,4,0
21,18,21,10,21,16,\N,R,21,0.0,0,0,0.0,0,\N,0,0,4,0
22,18,22,11,17,10,\N,D,22,0.0,58,0,0.0,44,8,1:28.736,215.141,2,0
23,19,8,6,1,2,1,1,1,10.0,56,1:31:18.555,5478.555,37,2,1:35.405,209.158,1,1:31:18.555
24,19,9,2,4,4,2,2,2,8.0,56,19.570,5498.125,39,6,1:35.921,208.033,1,+19.570
25,19,5,1,23,8,3,3,3,6.0,56,38.450,5517.005,19,7,1:35.922,208.031,1,+38.450
26,19,15,7,11,3,4,4,4,5.0,56,45.832,5524.387,53,8,1:36.068,207.715,1,+45.832
27,19,1,1,22,9,5,5,5,4.0,56,46.548,5525.103,53,3,1:35.462,209.033,1,+46.548
28,19,2,2,3,5,6,6,6,3.0,56,49.833,5528.388,55,1,1:35.366,209.244,1,+49.833
29,19,17,9,10,6,7,7,7,2.0,56,1:08.130,5546.685,53,12,1:36.696,206.366,1,+1:08.130
30,19,4,4,5,7,8,8,8,1.0,56,1:10.041,5548.596,40,10,1:36.288,207.240,1,+1:10.041
31,19,14,9,9,12,9,9,9,0.0,56,1:16.220,5554.775,55,9,1:36.206,207.417,1,+1:16.220
32,19,18,11,16,11,10,10,10,0.0,56,1:26.214,5564.769,56,4,1:35.715,208.481,1,+1:26.214
33,19,12,4,6,13,11,11,11,0.0,56,1:32.202,5570.757,52,15,1:36.956,205.812,1,+1:32.202
34,19,21,10,21,17,12,12,12,0.0,55,0,0.0,52,16,1:36.962,205.800,11,0
35,19,22,11,17,14,13,13,13,0.0,55,0,0.0,55,11,1:36.693,206.372,11,0
36,19,3,3,7,16,14,14,14,0.0,55,0,0.0,55,13,1:36.782,206.182,11,0
37,19,19,8,19,21,15,15,15,0.0,55,0,0.0,55,18,1:38.171,203.265,11,0
38,19,11,8,18,19,16,16,16,0.0,54,0,0.0,53,19,1:38.504,202.578,12,0
39,19,6,3,8,22,17,17,17,0.0,54,0,0.0,19,17,1:37.711,204.222,12,0
40,19,20,5,15,15,\N,R,18,0.0,39,0,0.0,37,14,1:36.870,205.995,5,0
41,19,13,6,2,1,\N,R,19,0.0,30,0,0.0,15,5,1:35.914,208.048,20,0
42,19,16,10,20,20,\N,R,20,0.0,5,0,0.0,3,20,1:40.330,198.891,9,0
43,19,10,7,12,10,\N,R,21,0.0,1,0,0.0,0,\N,0,0,4,0
44,19,7,5,14,18,\N,R,22,0.0,0,0,0.0,0,\N,0,0,20,0
45,20,13,6,2,2,1,1,1,10.0,57,1:31:06.970,5466.97,38,3,1:33.600,208.153,1,1:31:06.970
46,20,8,6,1,4,2,2,2,8.0,57,3.339,5470.309,35,4,1:33.709,207.911,1,+3.339
47,20,9,2,4,1,3,3,3,6.0,57,4.998,5471.968,55,5,1:33.775,207.765,1,+4.998
48,20,2,2,3,6,4,4,4,5.0,57,8.409,5475.379,48,2,1:33.565,208.231,1,+8.409
49,20,5,1,23,5,5,5,5,4.0,57,26.789,5493.759,49,1,1:33.193,209.062,1,+26.789
50,20,15,7,11,7,6,6,6,3.0,57,41.314,5508.284,45,7,1:34.204,206.819,1,+41.314
51,20,17,9,10,11,7,7,7,2.0,57,45.473,5512.443,51,8,1:34.305,206.597,1,+45.473
52,20,3,3,7,8,8,8,8,1.0,57,55.889,5522.859,57,6,1:34.072,207.109,1,+55.889
53,20,10,7,12,13,9,9,9,0.0,57,1:09.500,5536.47,56,9,1:34.807,205.503,1,+1:09.500
54,20,4,4,5,10,10,10,10,0.0,57,1:17.181,5544.151,35,13,1:35.194,204.668,1,+1:17.181
55,20,22,11,17,12,11,11,11,0.0,57,1:17.862,5544.832,40,10,1:34.855,205.399,1,+1:17.862
56,20,21,10,21,18,12,12,12,0.0,56,0,0.0,56,11,1:35.057,204.963,11,0
57,20,1,1,22,3,13,13,13,0.0,56,0,0.0,25,19,1:35.520,203.969,11,0
58,20,6,3,8,16,14,14,14,0.0,56,0,0.0,30,17,1:35.433,204.155,11,0
59,20,7,5,14,15,15,15,15,0.0,56,0,0.0,33,15,1:35.333,204.369,11,0
60,20,19,8,19,21,16,16,16,0.0,56,0,0.0,45,14,1:35.324,204.389,11,0
61,20,11,8,18,22,17,17,17,0.0,56,0,0.0,56,20,1:35.891,203.180,11,0
62,20,14,9,9,17,18,18,18,0.0,56,0,0.0,43,16,1:35.351,204.331,11,0
63,20,16,10,20,20,19,19,19,0.0,56,0,0.0,55,18,1:35.442,204.136,12,0
64,20,12,4,6,14,\N,R,20,0.0,40,0,0.0,31,12,1:35.129,204.808,6,0
65,20,18,11,16,9,\N,R,21,0.0,19,0,0.0,11,21,1:36.125,202.686,4,0
66,20,20,5,15,19,\N,R,22,0.0,0,0,0.0,0,\N,0,0,5,0
67,21,8,6,1,1,1,1,1,10.0,66,1:38:19.051,5899.051,46,1,1:21.670,205.191,1,1:38:19.051
68,21,13,6,2,3,2,2,2,8.0,66,3.228,5902.279,45,2,1:21.801,204.863,1,+3.228
69,21,1,1,22,5,3,3,3,6.0,66,4.187,5903.238,20,3,1:22.017,204.323,1,+4.187
70,21,9,2,4,4,4,4,4,5.0,66,5.694,5904.745,20,4,1:22.106,204.102,1,+5.694
71,21,17,9,10,7,5,5,5,4.0,66,35.938,5934.989,19,8,1:22.564,202.969,1,+35.938
72,21,18,11,16,13,6,6,6,3.0,66,53.010,5952.061,66,5,1:22.353,203.489,1,+53.010
73,21,6,3,8,12,7,7,7,2.0,66,58.244,5957.295,48,15,1:23.549,200.576,1,+58.244
74,21,15,7,11,8,8,8,8,1.0,66,59.435,5958.486,45,10,1:22.758,202.494,1,+59.435
75,21,2,2,3,9,9,9,9,0.0,66,1:03.073,5962.124,21,7,1:22.519,203.080,1,+1:03.073
76,21,21,10,21,19,10,10,10,0.0,65,0,0.0,40,14,1:23.439,200.841,11,0
77,21,10,7,12,14,11,11,11,0.0,65,0,0.0,57,12,1:23.007,201.886,11,0
78,21,14,9,9,17,12,12,12,0.0,65,0,0.0,57,11,1:22.842,202.288,11,0
79,21,11,8,18,22,13,13,13,0.0,65,0,0.0,34,17,1:24.617,198.045,11,0
80,21,3,3,7,15,\N,R,14,0.0,41,0,0.0,20,13,1:23.319,201.130,5,0
81,21,4,4,5,2,\N,R,15,0.0,34,0,0.0,15,9,1:22.683,202.677,5,0
82,21,22,11,17,11,\N,R,16,0.0,34,0,0.0,21,16,1:23.858,199.837,4,0
