raceId,driverId,stop,lap,time,duration,milliseconds
841,153,1,1,61523.0,26.898,26898
841,30,1,1,61552.0,25.021,25021
841,17,1,11,62448.0,23.426,23426
841,4,1,12,62554.0,23.251,23251
841,13,1,13,62650.0,23.842,23842
841,22,1,13,62669.0,23.643,23643
841,20,1,14,62717.0,22.603,22603
841,814,1,14,62763.0,24.863,24863
841,816,1,14,62810.0,25.259,25259
841,67,1,15,62854.0,25.342,25342
841,2,1,15,62861.0,22.994,22994
841,1,1,16,62904.0,23.227,23227
841,808,1,16,62919.0,24.535,24535
841,3,1,16,62940.0,23.716,23716
841,155,1,16,62946.0,24.064,24064
841,16,1,16,62948.0,25.978,25978
841,15,1,16,62989.0,24.899,24899
841,18,1,17,63024.0,16.867,16867
841,153,2,17,63066.0,24.463,24463
841,5,1,17,63071.0,24.865,24865
841,30,2,17,63128.0,23.988,23988
841,10,1,18,63182.0,23.792,23792
841,18,2,19,63233.0,23.303,23303
841,815,1,23,63627.0,23.438,23438
841,22,2,23,63645.0,37.856,37856
841,17,2,26,63869.0,22.520,22520
841,4,2,27,63964.0,24.733,24733
841,22,3,28,64147.0,16.892,16892
841,67,2,29,64187.0,23.100,23100
841,2,2,30,64292.0,25.098,25098
841,13,2,31,64348.0,24.500,24500
841,155,2,32,64461.0,24.192,24192
841,20,2,36,64757.0,24.036,24036
841,1,2,36,64769.0,23.199,23199
841,153,3,35,64785.0,26.348,26348
841,808,2,36,64787.0,25.683,25683
841,814,2,36,64848.0,24.332,24332
841,18,3,37,64909.0,22.681,22681
841,16,2,37,64935.0,23.871,23871
841,15,2,37,65035.0,24.848,24848
841,816,2,38,65213.0,26.446,26446
841,17,3,41,65257.0,26.230,26230
841,22,4,40,65283.0,26.309,26309
841,4,3,42,65348.0,24.181,24181
841,13,3,48,65934.0,24.095,24095
842,16,1,3,58147.0,31.694,31694
842,22,1,3,58204.0,32.978,32978
842,17,1,10,58881.0,22.572,22572
842,814,1,11,58996.0,22.773,22773
842,1,1,12,59080.0,22.552,22552
842,20,1,13,59177.0,23.019,23019
842,2,1,13,59188.0,23.900,23900
842,18,1,13,59189.0,22.400,22400
842,13,1,13,59190.0,29.224,29224
842,15,1,13,59223.0,25.516,25516
842,4,1,14,59295.0,23.152,23152
842,30,1,14,59314.0,22.576,22576
842,808,1,15,59410.0,23.182,23182
842,67,1,15,59423.0,23.280,23280
842,3,1,15,59437.0,24.967,24967
842,5,1,15,59437.0,29.084,29084
842,153,1,16,59545.0,23.584,23584
842,16,2,16,59551.0,22.046,22046
842,155,1,17,59633.0,23.280,23280
842,815,1,17,59654.0,23.597,23597
842,10,1,17,59668.0,24.617,24617
842,816,1,17,59679.0,26.252,26252
842,24,1,17,59696.0,27.815,27815
842,22,2,17,59741.0,24.502,24502
842,67,2,20,59970.0,29.843,29843
842,17,2,22,60157.0,21.991,21991
842,18,2,23,60251.0,22.471,22471
842,1,2,24,60348.0,22.611,22611
842,814,2,24,60380.0,22.419,22419
842,20,2,25,60447.0,21.893,21893
842,4,2,26,60559.0,23.894,23894
842,2,2,26,60571.0,23.221,23221
842,13,2,27,60677.0,22.541,22541
842,808,2,27,60685.0,22.680,22680
842,30,2,28,60806.0,22.261,22261
842,3,2,29,60928.0,22.577,22577
842,17,3,32,61201.0,22.069,22069
842,153,2,32,61255.0,22.888,22888
842,16,3,32,61256.0,22.550,22550
842,67,3,32,61263.0,27.439,27439
842,5,2,34,61481.0,23.336,23336
842,10,2,34,61519.0,24.429,24429
842,816,2,35,61640.0,24.416,24416
842,155,2,36,61646.0,23.442,23442
842,1,3,37,61708.0,25.382,25382
842,814,3,37,61761.0,23.977,23977
842,18,3,38,61813.0,22.483,22483
842,13,3,38,61828.0,22.893,22893
842,2,3,39,61929.0,22.602,22602
842,24,2,38,62012.0,26.554,26554
842,3,3,40,62105.0,22.526,22526
842,20,3,41,62108.0,22.313,22313
842,4,3,41,62125.0,23.812,23812
842,30,3,42,62288.0,22.227,22227
842,17,4,43,62350.0,22.161,22161
842,808,3,44,62468.0,28.694,28694
842,4,4,46,62664.0,27.182,27182
842,24,3,44,62707.0,38.823,38823
