qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
1,18,1,1,22,1,86.572,85.187,86.714
2,18,9,2,4,2,86.10300000000001,85.315,86.869
3,18,5,1,23,3,85.664,85.452,87.07900000000001
4,18,13,6,2,4,85.994,85.691,87.178
5,18,2,2,3,5,85.96000000000001,85.518,87.236
6,18,15,7,11,6,86.42699999999999,86.101,88.527
7,18,3,3,7,7,86.295,86.059,88.687
8,18,14,9,9,8,86.381,86.063,89.041
9,18,10,7,12,9,86.919,86.164,89.593
10,18,20,5,15,10,86.702,85.842,0.0
11,18,22,11,17,11,86.369,86.173,0.0
12,18,4,4,5,12,86.907,86.188,0.0
13,18,18,11,16,13,86.712,86.259,0.0
14,18,6,3,8,14,86.89099999999999,86.413,0.0
15,18,17,9,10,15,86.914,0.0,0.0
16,18,8,6,1,16,86.14,0.0,0.0
17,18,21,10,21,17,87.207,0.0,0.0
18,18,7,5,14,18,87.446,0.0,0.0
19,18,16,10,20,19,87.85900000000001,0.0,0.0
20,18,11,8,18,20,88.208,0.0,0.0
21,18,12,4,6,21,88.33,0.0,0.0
22,18,19,8,19,22,89.059,0.0,0.0
23,19,13,6,2,1,95.34700000000001,94.412,95.74799999999999
24,19,8,6,1,2,95.64500000000001,94.188,96.22999999999999
25,19,5,1,23,3,95.227,94.759,96.613
26,19,1,1,22,4,95.392,94.62700000000001,96.709
27,19,15,7,11,5,95.205,94.96000000000001,96.711
28,19,9,2,4,6,95.794,94.811,96.727
29,19,2,2,3,7,95.729,94.648,96.753
30,19,17,9,10,8,95.44,94.967,97.009
31,19,4,4,5,9,95.983,95.14,98.45
32,19,10,7,12,10,95.89099999999999,95.0,99.656
33,19,18,11,16,11,95.84700000000001,95.208,0.0
34,19,14,9,9,12,96.05799999999999,95.408,0.0
35,19,12,4,6,13,96.074,95.562,0.0
36,19,22,11,17,14,96.19800000000001,95.622,0.0
37,19,20,5,15,15,96.11099999999999,95.648,0.0
38,19,3,3,7,16,95.843,95.67,0.0
39,19,21,10,21,17,96.24000000000001,0.0,0.0
40,19,6,3,8,18,96.388,0.0,0.0
41,19,7,5,14,19,96.67699999999999,0.0,0.0
42,19,11,8,18,20,97.087,0.0,0.0
43,19,16,10,20,21,97.101,0.0,0.0
44,19,19,8,19,22,97.481,0.0,0.0
45,20,9,2,4,1,92.893,91.745,93.096
46,20,13,6,2,2,91.937,91.188,93.12299999999999
47,20,1,1,22,3,92.75,91.922,93.292
48,20,8,6,1,4,92.652,91.93299999999999,93.418
49,20,5,1,23,5,93.057,91.718,93.488
50,20,2,2,3,6,93.137,91.90899999999999,93.737
51,20,15,7,11,7,92.493,92.15899999999999,93.994
52,20,3,3,7,8,92.90299999999999,92.185,94.015
53,20,18,11,16,9,92.793,92.362,95.057
54,20,4,4,5,10,92.947,92.345,95.11500000000001
55,20,17,9,10,11,93.194,92.37100000000001,0.0
56,20,22,11,17,12,92.944,92.50800000000001,0.0
57,20,10,7,12,13,92.8,92.52799999999999,0.0
58,20,12,4,6,14,92.975,92.78999999999999,0.0
59,20,7,5,14,15,93.41499999999999,92.91499999999999,0.0
60,20,6,3,8,16,93.386,92.943,0.0
61,20,14,9,9,17,93.43299999999999,0.0,0.0
62,20,21,10,21,18,93.501,0.0,0.0
63,20,20,5,15,19,93.562,0.0,0.0
64,20,16,10,20,20,93.845,0.0,0.0
65,20,19,8,19,21,94.14,0.0,0.0
66,20,11,8,18,22,95.725,0.0,0.0
67,21,8,6,1,1,80.701,80.78399999999999,81.813
68,21,4,4,5,2,81.34700000000001,80.804,81.904
69,21,13,6,2,3,81.52799999999999,80.584,82.05799999999999
70,21,9,2,4,4,81.423,80.59700000000001,82.065
71,21,1,1,22,5,81.366,80.825,82.096
72,21,5,1,23,6,81.43,80.81700000000001,82.231
73,21,17,9,10,7,81.494,80.98400000000001,82.429
74,21,15,7,11,8,81.158,80.907,82.529
75,21,2,2,3,9,81.46600000000001,80.815,82.542
76,21,12,4,6,10,81.40899999999999,80.894,82.699
77,21,22,11,17,11,81.548,81.049,0.0
78,21,6,3,8,12,81.69,81.117,0.0
79,21,18,11,16,13,81.757,81.211,0.0
80,21,10,7,12,14,81.42699999999999,81.23,0.0
81,21,3,3,7,15,81.47200000000001,81.349,0.0
82,21,7,5,14,16,81.53999999999999,81.724,0.0
83,21,14,9,9,17,81.81,0.0,0.0
84,21,20,5,15,18,82.108,0.0,0.0
85,21,21,10,21,19,82.51599999999999,0.0,0.0
86,21,16,10,20,20,83.224,0.0,0.0
87,21,19,8,19,21,83.318,0.0,0.0
