,Full Name,Fastest Lap Time,Fastest Lap Speed,Fastest Lap,Milliseconds,Points,Position,Rank,Grid
22257,Sergio Pérez,0.0,0.0,0,0.0,0.0,0,0,10
23472,Max Verstappen,0.0,0.0,0,0.0,0.0,0,0,5
22890,Carlos Sainz,0.0,0.0,0,0.0,0.0,0,0,10
22148,Daniel Ricciardo,0.0,0.0,0,5603.235,0.0,0,0,2
22494,Sergio Pérez,0.0,0.0,0,0.0,0.0,0,0,11
23936,Pierre Gasly,0.0,0.0,0,0.0,0.0,0,0,14
23596,Daniel Ricciardo,0.0,0.0,0,0.0,0.0,0,0,6
23655,Max Verstappen,0.0,0.0,0,0.0,0.0,0,0,2
24016,Charles Leclerc,0.0,0.0,0,0.0,0.0,0,0,17
23020,Lewis Hamilton,0.0,0.0,0,0.0,0.0,0,0,1
7791,Lewis Hamilton,0.0,0.0,0,0.0,0.0,0,\N,12
23696,Carlos Sainz,0.0,0.0,0,0.0,0.0,0,0,19
23875,Pierre Gasly,0.0,0.0,0,0.0,0.0,0,0,12
20654,Lewis Hamilton,0.0,0.0,0,0.0,0.0,0,\N,5
24034,Charles Leclerc,0.0,0.0,0,0.0,0.0,0,0,12
24759,Carlos Sainz,0.0,0.0,0,0.0,0.0,0,0,7
23513,Carlos Sainz,0.0,0.0,0,0.0,0.0,0,0,13
23815,Max Verstappen,0.0,0.0,0,0.0,0.0,0,0,15
22170,Sergio Pérez,0.0,0.0,0,0.0,0.0,0,0,14
24419,Sergio Pérez,0.0,0.0,0,0.0,0.0,0,0,8
24798,Max Verstappen,0.0,0.0,0,0.0,0.0,0,0,3
21708,Sergio Pérez,0.0,0.0,0,0.0,0.0,0,0,12
24459,Max Verstappen,0.0,0.0,0,0.0,0.0,0,0,5
23536,Sergio Pérez,0.0,0.0,0,0.0,0.0,0,0,0
21513,Sergio Pérez,0.0,0.0,0,0.0,0.0,0,0,4
24458,Carlos Sainz,0.0,0.0,0,0.0,0.0,0,0,15
23575,Carlos Sainz,0.0,0.0,0,0.0,0.0,0,0,13
23556,Max Verstappen,0.0,0.0,0,0.0,0.0,0,0,5
24818,Carlos Sainz,0.0,0.0,0,0.0,0.0,0,0,6
22551,Valtteri Bottas,0.0,0.0,0,0.0,0.0,0,0,0
23816,Daniel Ricciardo,0.0,0.0,0,0.0,0.0,0,0,4
24799,Pierre Gasly,0.0,0.0,0,0.0,0.0,0,0,16
23195,Carlos Sainz,0.0,0.0,0,0.0,0.0,0,0,14
21515,Lewis Hamilton,0.0,0.0,0,0.0,0.0,0,0,7
24648,Carlos Sainz,65.619,236.894,68,0.0,3.0,9,1,3
