driverId,Win or Lost,counts,per,per100
1,lost,170,0.648854961832061,64.9
1,win,92,0.3511450381679389,35.1
2,lost,184,1.0,100.0
3,lost,183,0.8883495145631068,88.8
3,win,23,0.11165048543689321,11.2
4,lost,282,0.8980891719745223,89.8
4,win,32,0.10191082802547771,10.2
5,lost,111,0.9910714285714286,99.1
5,win,1,0.008928571428571428,0.9
6,lost,36,1.0,100.0
7,lost,27,1.0,100.0
8,lost,306,0.9357798165137615,93.6
8,win,21,0.06422018348623854,6.4
9,lost,96,0.9896907216494846,99.0
9,win,1,0.010309278350515464,1.0
10,lost,95,1.0,100.0
11,lost,91,1.0,100.0
12,lost,28,1.0,100.0
13,lost,260,0.959409594095941,95.9
13,win,11,0.04059040590405904,4.1
14,lost,234,0.9473684210526315,94.7
14,win,13,0.05263157894736842,5.3
15,lost,255,0.99609375,99.6
15,win,1,0.00390625,0.4
16,lost,128,1.0,100.0
17,lost,208,0.9585253456221198,95.9
17,win,9,0.041474654377880185,4.1
18,lost,294,0.9514563106796117,95.1
18,win,15,0.04854368932038835,4.9
19,lost,24,1.0,100.0
20,lost,200,0.7905138339920948,79.1
20,win,53,0.20948616600790515,20.9
21,lost,228,0.987012987012987,98.7
21,win,3,0.012987012987012988,1.3
22,lost,315,0.9662576687116564,96.6
22,win,11,0.03374233128834356,3.4
23,lost,174,0.9666666666666667,96.7
23,win,6,0.03333333333333333,3.3
24,lost,81,1.0,100.0
25,lost,69,1.0,100.0
26,lost,28,1.0,100.0
27,lost,46,1.0,100.0
28,lost,1,1.0,100.0
29,lost,21,1.0,100.0
30,lost,217,0.7045454545454546,70.5
30,win,91,0.29545454545454547,29.5
31,lost,88,0.9263157894736842,92.6
31,win,7,0.07368421052631578,7.4
32,lost,51,1.0,100.0
33,lost,37,1.0,100.0
34,lost,4,1.0,100.0
35,lost,154,0.9333333333333333,93.3
35,win,11,0.06666666666666667,6.7
36,lost,7,1.0,100.0
37,lost,107,1.0,100.0
38,lost,11,1.0,100.0
39,lost,48,1.0,100.0
40,lost,11,1.0,100.0
41,lost,38,1.0,100.0
42,lost,20,1.0,100.0
43,lost,28,1.0,100.0
44,lost,157,0.9936708860759493,99.4
44,win,1,0.006329113924050633,0.6
45,lost,14,1.0,100.0
46,lost,18,1.0,100.0
47,lost,20,1.0,100.0
48,lost,36,1.0,100.0
49,lost,156,0.9811320754716981,98.1
49,win,3,0.018867924528301886,1.9
50,lost,107,1.0,100.0
51,lost,16,1.0,100.0
52,lost,14,1.0,100.0
53,lost,5,1.0,100.0
54,lost,15,1.0,100.0
55,lost,201,0.995049504950495,99.5
55,win,1,0.0049504950495049506,0.5
56,lost,143,0.9727891156462585,97.3
56,win,4,0.027210884353741496,2.7
57,lost,145,0.8787878787878788,87.9
57,win,20,0.12121212121212122,12.1
58,lost,26,1.0,100.0
