,Full Name,Win or Loss,Total Races,W/L Ratio,W/L Percent
0,Alexander Albon,lost,33,1.0,100.0
1,Carlos Sainz,lost,114,1.0,100.0
2,Charles Leclerc,lost,52,0.9629629629629629,96.3
3,Charles Leclerc,win,2,0.037037037037037035,3.7
4,Daniel Ricciardo,lost,176,0.9617486338797814,96.2
5,Daniel Ricciardo,win,7,0.03825136612021858,3.8
6,Lando Norris,lost,33,1.0,100.0
7,Lewis Hamilton,lost,170,0.648854961832061,64.9
8,Lewis Hamilton,win,92,0.3511450381679389,35.1
9,Max Verstappen,lost,105,0.9210526315789473,92.1
10,Max Verstappen,win,9,0.07894736842105263,7.9
11,Pierre Gasly,lost,58,0.9830508474576272,98.3
12,Pierre Gasly,win,1,0.01694915254237288,1.7
13,Sergio Pérez,lost,188,1.0,100.0
14,Valtteri Bottas,lost,143,0.9407894736842105,94.1
15,Valtteri Bottas,win,9,0.05921052631578947,5.9
