resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,Win or Lost
1,18,1,1,22,1,1,1,1,10.0,58,1:34:50.616,5690.616,39,2,87.452,218.3,1,win
2,18,2,2,3,5,2,2,2,8.0,58,5.478,5696.094,41,3,87.739,217.58599999999998,1,lost
3,18,3,3,7,7,3,3,3,6.0,58,8.163,5698.779,41,5,88.09,216.71900000000002,1,lost
4,18,4,4,5,11,4,4,4,5.0,58,17.181,5707.797,58,7,88.60300000000001,215.46400000000003,1,lost
5,18,5,1,23,3,5,5,5,4.0,58,18.014,5708.63,43,1,87.418,218.385,1,lost
6,18,6,3,8,13,6,6,6,3.0,57,0,0.0,50,14,89.639,212.97400000000002,11,lost
7,18,7,5,14,17,7,7,7,2.0,55,0,0.0,22,12,89.53399999999999,213.22400000000002,5,lost
8,18,8,6,1,15,8,8,8,1.0,53,0,0.0,20,4,87.90299999999999,217.18,5,lost
9,18,9,2,4,2,\N,R,9,0.0,47,0,0.0,15,9,88.753,215.1,4,lost
10,18,10,7,12,18,\N,R,10,0.0,43,0,0.0,23,13,89.55799999999999,213.166,3,lost
11,18,11,8,18,19,\N,R,11,0.0,32,0,0.0,24,15,90.892,210.03799999999998,7,lost
12,18,12,4,6,20,\N,R,12,0.0,30,0,0.0,20,16,91.384,208.907,8,lost
13,18,13,6,2,4,\N,R,13,0.0,29,0,0.0,23,6,88.175,216.51,5,lost
14,18,14,9,9,8,\N,R,14,0.0,25,0,0.0,21,11,89.502,213.3,4,lost
15,18,15,7,11,6,\N,R,15,0.0,19,0,0.0,18,10,89.31,213.75799999999998,10,lost
16,18,16,10,20,22,\N,R,16,0.0,8,0,0.0,8,17,92.021,207.46099999999998,9,lost
17,18,17,9,10,14,\N,R,17,0.0,0,0,0.0,0,\N,0.0,0.0,4,lost
18,18,18,11,16,12,\N,R,18,0.0,0,0,0.0,0,\N,0.0,0.0,4,lost
19,18,19,8,19,21,\N,R,19,0.0,0,0,0.0,0,\N,0.0,0.0,4,lost
20,18,20,5,15,9,\N,R,20,0.0,0,0,0.0,0,\N,0.0,0.0,4,lost
21,18,21,10,21,16,\N,R,21,0.0,0,0,0.0,0,\N,0.0,0.0,4,lost
22,18,22,11,17,10,\N,D,22,0.0,58,0,0.0,44,8,88.736,215.141,2,lost
23,19,8,6,1,2,1,1,1,10.0,56,1:31:18.555,5478.555,37,2,95.405,209.158,1,win
24,19,9,2,4,4,2,2,2,8.0,56,19.570,5498.125,39,6,95.92099999999999,208.033,1,lost
25,19,5,1,23,8,3,3,3,6.0,56,38.450,5517.005,19,7,95.922,208.03099999999998,1,lost
26,19,15,7,11,3,4,4,4,5.0,56,45.832,5524.387,53,8,96.068,207.715,1,lost
27,19,1,1,22,9,5,5,5,4.0,56,46.548,5525.103,53,3,95.462,209.033,1,lost
28,19,2,2,3,5,6,6,6,3.0,56,49.833,5528.388000000001,55,1,95.366,209.24400000000003,1,lost
29,19,17,9,10,6,7,7,7,2.0,56,1:08.130,5546.685,53,12,96.696,206.36599999999999,1,lost
30,19,4,4,5,7,8,8,8,1.0,56,1:10.041,5548.596,40,10,96.288,207.24,1,lost
31,19,14,9,9,12,9,9,9,0.0,56,1:16.220,5554.775,55,9,96.206,207.417,1,lost
32,19,18,11,16,11,10,10,10,0.0,56,1:26.214,5564.769,56,4,95.715,208.481,1,lost
33,19,12,4,6,13,11,11,11,0.0,56,1:32.202,5570.757,52,15,96.956,205.812,1,lost
34,19,21,10,21,17,12,12,12,0.0,55,0,0.0,52,16,96.962,205.8,11,lost
35,19,22,11,17,14,13,13,13,0.0,55,0,0.0,55,11,96.693,206.372,11,lost
36,19,3,3,7,16,14,14,14,0.0,55,0,0.0,55,13,96.782,206.18200000000002,11,lost
37,19,19,8,19,21,15,15,15,0.0,55,0,0.0,55,18,98.17099999999999,203.265,11,lost
38,19,11,8,18,19,16,16,16,0.0,54,0,0.0,53,19,98.50399999999999,202.578,12,lost
39,19,6,3,8,22,17,17,17,0.0,54,0,0.0,19,17,97.711,204.222,12,lost
40,19,20,5,15,15,\N,R,18,0.0,39,0,0.0,37,14,96.87,205.995,5,lost
41,19,13,6,2,1,\N,R,19,0.0,30,0,0.0,15,5,95.914,208.048,20,lost
42,19,16,10,20,20,\N,R,20,0.0,5,0,0.0,3,20,100.33,198.891,9,lost
43,19,10,7,12,10,\N,R,21,0.0,1,0,0.0,0,\N,0.0,0.0,4,lost
44,19,7,5,14,18,\N,R,22,0.0,0,0,0.0,0,\N,0.0,0.0,20,lost
45,20,13,6,2,2,1,1,1,10.0,57,1:31:06.970,5466.97,38,3,93.6,208.153,1,win
46,20,8,6,1,4,2,2,2,8.0,57,3.339,5470.309,35,4,93.709,207.91099999999997,1,lost
47,20,9,2,4,1,3,3,3,6.0,57,4.998,5471.968000000001,55,5,93.775,207.765,1,lost
48,20,2,2,3,6,4,4,4,5.0,57,8.409,5475.379,48,2,93.565,208.231,1,lost
49,20,5,1,23,5,5,5,5,4.0,57,26.789,5493.759,49,1,93.193,209.062,1,lost
50,20,15,7,11,7,6,6,6,3.0,57,41.314,5508.284000000001,45,7,94.20400000000001,206.81900000000002,1,lost
51,20,17,9,10,11,7,7,7,2.0,57,45.473,5512.443,51,8,94.305,206.597,1,lost
52,20,3,3,7,8,8,8,8,1.0,57,55.889,5522.859,57,6,94.072,207.109,1,lost
53,20,10,7,12,13,9,9,9,0.0,57,1:09.500,5536.47,56,9,94.807,205.503,1,lost
54,20,4,4,5,10,10,10,10,0.0,57,1:17.181,5544.151,35,13,95.194,204.668,1,lost
55,20,22,11,17,12,11,11,11,0.0,57,1:17.862,5544.831999999999,40,10,94.85499999999999,205.399,1,lost
56,20,21,10,21,18,12,12,12,0.0,56,0,0.0,56,11,95.057,204.963,11,lost
57,20,1,1,22,3,13,13,13,0.0,56,0,0.0,25,19,95.52000000000001,203.96900000000002,11,lost
58,20,6,3,8,16,14,14,14,0.0,56,0,0.0,30,17,95.43299999999999,204.155,11,lost
59,20,7,5,14,15,15,15,15,0.0,56,0,0.0,33,15,95.333,204.36900000000003,11,lost
60,20,19,8,19,21,16,16,16,0.0,56,0,0.0,45,14,95.324,204.389,11,lost
61,20,11,8,18,22,17,17,17,0.0,56,0,0.0,56,20,95.89099999999999,203.18,11,lost
62,20,14,9,9,17,18,18,18,0.0,56,0,0.0,43,16,95.351,204.331,11,lost
63,20,16,10,20,20,19,19,19,0.0,56,0,0.0,55,18,95.44200000000001,204.136,12,lost
64,20,12,4,6,14,\N,R,20,0.0,40,0,0.0,31,12,95.12899999999999,204.808,6,lost
65,20,18,11,16,9,\N,R,21,0.0,19,0,0.0,11,21,96.125,202.68599999999998,4,lost
66,20,20,5,15,19,\N,R,22,0.0,0,0,0.0,0,\N,0.0,0.0,5,lost
67,21,8,6,1,1,1,1,1,10.0,66,1:38:19.051,5899.0509999999995,46,1,81.67,205.19099999999997,1,win
68,21,13,6,2,3,2,2,2,8.0,66,3.228,5902.279,45,2,81.801,204.863,1,lost
69,21,1,1,22,5,3,3,3,6.0,66,4.187,5903.238,20,3,82.017,204.32299999999998,1,lost
70,21,9,2,4,4,4,4,4,5.0,66,5.694,5904.745,20,4,82.106,204.102,1,lost
71,21,17,9,10,7,5,5,5,4.0,66,35.938,5934.9890000000005,19,8,82.564,202.96900000000002,1,lost
72,21,18,11,16,13,6,6,6,3.0,66,53.010,5952.061,66,5,82.35300000000001,203.489,1,lost
73,21,6,3,8,12,7,7,7,2.0,66,58.244,5957.295,48,15,83.549,200.576,1,lost
74,21,15,7,11,8,8,8,8,1.0,66,59.435,5958.486,45,10,82.758,202.49400000000003,1,lost
75,21,2,2,3,9,9,9,9,0.0,66,1:03.073,5962.124,21,7,82.519,203.08,1,lost
76,21,21,10,21,19,10,10,10,0.0,65,0,0.0,40,14,83.439,200.84099999999998,11,lost
77,21,10,7,12,14,11,11,11,0.0,65,0,0.0,57,12,83.007,201.886,11,lost
78,21,14,9,9,17,12,12,12,0.0,65,0,0.0,57,11,82.842,202.28799999999998,11,lost
79,21,11,8,18,22,13,13,13,0.0,65,0,0.0,34,17,84.617,198.045,11,lost
80,21,3,3,7,15,\N,R,14,0.0,41,0,0.0,20,13,83.319,201.13,5,lost
81,21,4,4,5,2,\N,R,15,0.0,34,0,0.0,15,9,82.68299999999999,202.67700000000002,5,lost
82,21,22,11,17,11,\N,R,16,0.0,34,0,0.0,21,16,83.858,199.83700000000002,4,lost
83,21,5,1,23,6,\N,R,17,0.0,21,0,0.0,19,6,82.453,203.243,3,lost
84,21,19,8,19,21,\N,R,18,0.0,8,0,0.0,6,20,86.864,192.922,21,lost
85,21,7,5,14,16,\N,R,19,0.0,7,0,0.0,6,19,85.999,194.862,4,lost
86,21,12,4,6,10,\N,R,20,0.0,6,0,0.0,6,18,85.444,196.128,4,lost
87,21,16,10,20,20,\N,R,21,0.0,0,0,0.0,0,\N,0.0,0.0,4,lost
88,21,20,5,15,18,\N,R,22,0.0,0,0,0.0,0,\N,0.0,0.0,4,lost
89,22,13,6,2,1,1,1,1,10.0,58,1:26:49.451,5209.451,16,3,86.666,221.734,1,win
90,22,1,1,22,3,2,2,2,8.0,58,3.779,5213.23,31,2,86.529,222.085,1,lost
91,22,8,6,1,4,3,3,3,6.0,58,4.271,5213.722,20,1,86.506,222.144,1,lost
92,22,9,2,4,5,4,4,4,5.0,58,21.945,5231.396,17,4,86.78,221.442,1,lost
93,22,2,2,3,9,5,5,5,4.0,58,38.741,5248.191999999999,20,5,87.219,220.328,1,lost
94,22,4,4,5,7,6,6,6,3.0,58,53.724,5263.175,57,6,87.28,220.174,1,lost
95,22,17,9,10,6,7,7,7,2.0,58,1:04.229,5273.68,14,7,87.63,219.294,1,lost
96,22,3,3,7,11,8,8,8,1.0,58,1:11.406,5280.857,55,9,87.795,218.882,1,lost
97,22,14,9,9,10,9,9,9,0.0,58,1:15.270,5284.721,41,12,87.96600000000001,218.457,1,lost
98,22,15,7,11,8,10,10,10,0.0,58,1:16.344,5285.795,52,11,87.926,218.55599999999998,1,lost
99,22,18,11,16,13,11,11,11,0.0,57,0,0.0,57,13,87.998,218.377,11,lost
